,Account Name,Provider Client,Subject,Bill Amt,Purch Amt,ROI_Categoria
0,Ace Law Group,Pueblo Medical Imaging,Imaging,1650.0,462.0,Rentabilidad media
1,Ace Law Group,Pueblo Medical Imaging,Imaging,1650.0,462.0,Rentabilidad media
2,Ace Law Group,Pueblo Medical Imaging,Imaging,1650.0,462.0,Rentabilidad media
3,Ace Law Group,Pueblo Medical Imaging,Lien,1650.0,462.0,Baja rentabilidad
5,Ace Law Group,LVR,Imaging,1650.0,495.0,Rentabilidad media
8,Ace Law Group,LVR,Imaging,1650.0,495.0,Rentabilidad media
10,Ace Law Group,LVR,Imaging,1650.0,495.0,Pérdida
11,Ace Law Group,LVR,Imaging,1650.0,495.0,Alta rentabilidad
12,Ace Law Group,LVR,Imaging,1650.0,495.0,Baja rentabilidad
15,Ace Law Group,LVR,Imaging,1650.0,495.0,Baja rentabilidad
17,Ace Law Group,Pueblo Medical Imaging,Imaging,1783.0,504.0,Baja rentabilidad
18,Ace Law Group,Pueblo Medical Imaging,Imaging,1950.0,546.0,Baja rentabilidad
19,Ace Law Group,Pueblo Medical Imaging,Imaging,1467.0,504.0,Baja rentabilidad
20,Ace Law Group,Pueblo Medical Imaging,Imaging,1650.0,462.0,Rentabilidad media
21,Ace Law Group,Pueblo Medical Imaging,Imaging,1000.0,280.0,ROI extremo/anómalo
22,Ace Law Group,Pueblo Medical Imaging,Imaging,1800.0,462.0,Alta rentabilidad
24,Ace Law Group,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
26,Ace Law Group,LVR,Imaging,1650.0,495.0,Pérdida
30,Ace Law Group,LVR,Imaging,1650.0,495.0,Pérdida
32,Ace Law Group,LVR,Imaging,1650.0,495.0,Pérdida
41,Ace Law Group,Pueblo Medical Imaging,Imaging,1650.0,495.0,Rentabilidad media
42,Ace Law Group,Durango Surgery Center,Pain Management,24149.0,6844.7,Pérdida
44,Ace Law Group,LVR,Imaging,1650.0,495.0,Baja rentabilidad
47,Ace Law Group,LVR,Imaging,150.0,45.0,Pérdida
